identifier,country,description,latitude,longitude,dataset
1,1,Algiers,36.7650107,3.0486067,ALALGIER
2,2,Bujumbura,-3.3760872,29.3600061,BIBJMBRA
3,3,Cotonou,6.362980392242672,2.404354790887952,BJCOTNOU
4,4,Bangui,4.3666443,18.5582881,CEBANGUI
5,5,Brazzaville,-4.2572399,15.2827436,CGBRZAVL
6,6,Cairo,30.0519062,31.2480224,EGCAIRO
7,7,Addis Ababa,9.0352562,38.6980586,ETADSABA
8,8,Libreville,0.3853886,9.457965,GOLIBRVL
9,9,Banjul,13.4538765,-16.5917015,GBBANJUL
10,10,Conakry,9.5334687,-13.6821809,GNCONKRY
11,11,Bissau,11.8650238,-15.5983608,GWBISSAU
12,12,Abidjan,5.323126072244572,-4.020206835187587,IVABIDJN
13,13,Nairobi,-1.2814009,36.814711,KNNAIROB
14,14,Rabat,34.0253073,-6.8364082,MCRABAT
15,15,Antananarivo,-18.9146915,47.514678,MGANTRVO
16,16,Nouakchott,18.086427,-15.9753404,MTNOKCHT
17,17,Lilongwe,-13.9832951,33.783302,MWLILNGW
18,18,Maputo,-25.9533316,32.5872171,MZMAPUTO
19,19,Windhoek,-22.5700061,17.0835461,NMWNDHOK
20,20,Niamey,13.4916429,7.0964038,NRNIAMEY
21,21,Lagos,6.4452075,3.3895852,NILAGOS
22,22,Dakar,14.7177776,-17.475076,SGDAKAR
23,23,Freetown,8.4719573,-13.2361616,SLFRETWN
24,24,Capetown,0,0,ZACAPTWN
25,25,Lome,0,0,TGLOME
26,26,Tunis,36.8027781,10.1796781,TSTUNIS
27,27,Dar Es Salaam,0,0,TNDESALM
28,28,Kampala,0.3186048,32.5813777,UGKAMPAL
29,29,Lusaka,-15.4146984,28.2813817,ZBLUSAKA
30,30,Dhaka,23.7250056,90.4066336,BWDHAKA
31,31,Beijing,39.90172030986268,116.39420089260612,CIBIEJNG
32,32,Chengdu,30.6719459,104.0680736,CICHNGDU
33,33,Guangzhou,23.12472343296695,113.26178516712945,CIGNGZHO
34,34,Shanghai,31.2183983,121.4345588,CISHANGH
35,35,Shenyang,0,0,CISHNYNG
36,36,Hong Kong,22.3069268,114.1830635,HKHONGKG
37,37,Bombay,0,0,INBOMBAY
38,38,Calcutta,0,0,INCALCUT
39,39,Chennai,13.0919337,80.2780529,INCHENAI
40,40,Delhi,28.6719388,77.2280582,INDELHI
41,41,Jakarta,-6.1724718,106.8274918,IDJAKRTA
42,42,Osaka,0,0,JPOSAKA
43,43,Sapporo,43.0769251,141.3380985,JPSAPPOR
44,44,Tokyo,35.6869628,139.7494616,JPTOKYO
45,45,Almaty,43.3269357,76.9130903,RAALMATY
46,46,Bishkek,42.8750253,74.5832584,RABSHKEK
47,47,Vientiane,17.9666927,102.59998,LAVIENTN
48,48,Kuala Lumpur,3.1397969439352504,101.68869929106194,MSKUALA
49,49,Ulan-bator,0,0,MOULNBTR
50,50,Rangoon,0,0,BMRNGOON
51,51,Katmandu,0,0,NPKTMNDU
