Regions,Countries,Cities,Dataset
Africa,Algeria,Algiers,ALALGIER
Africa,Burundi,Bujumbura,BIBJMBRA
Africa,Benin,Cotonou,BJCOTNOU
Africa,Central African Republic,Bangui,CEBANGUI
Africa,Congo,Brazzaville,CGBRZAVL
Africa,Egypt,Cairo,EGCAIRO
Africa,Ethiopia,Addis Ababa,ETADSABA
Africa,Gabon,Libreville,GOLIBRVL
Africa,Gambia,Banjul,GBBANJUL
Africa,Guinea,Conakry,GNCONKRY
Africa,Guinea-Bissau,Bissau,GWBISSAU
Africa,Ivory Coast,Abidjan,IVABIDJN
Africa,Kenya,Nairobi,KNNAIROB
Africa,Morocco,Rabat,MCRABAT
Africa,Madagascar,Antananarivo,MGANTRVO
Africa,Mauritania,Nouakchott,MTNOKCHT
Africa,Malawi,Lilongwe,MWLILNGW
Africa,Mozambique,Maputo,MZMAPUTO
Africa,Namibia,Windhoek,NMWNDHOK
Africa,Nigeria,Niamey,NRNIAMEY
Africa,Nigeria,Lagos,NILAGOS
Africa,Senegal,Dakar,SGDAKAR
Africa,Sierra Leone,Freetown,SLFRETWN
Africa,South Africa,Capetown,ZACAPTWN
Africa,Togo,Lome,TGLOME
Africa,Tunisia,Tunis,TSTUNIS
Africa,Tanzania,Dar Es Salaam,TNDESALM
Africa,Uganda,Kampala,UGKAMPAL
Africa,Zambia,Lusaka,ZBLUSAKA
Asia,Bangladesh,Dhaka,BWDHAKA
Asia,China,Beijing,CIBIEJNG
Asia,China,Chengdu,CICHNGDU
Asia,China,Guangzhou,CIGNGZHO
Asia,China,Shanghai,CISHANGH
Asia,China,Shenyang,CISHNYNG
Asia,Hong Kong,Hong Kong,HKHONGKG
Asia,India,Bombay,INBOMBAY
Asia,India,Calcutta,INCALCUT
Asia,India,Chennai,INCHENAI
Asia,India,Delhi,INDELHI
Asia,Indonesia,Jakarta,IDJAKRTA
Asia,Japan,Osaka,JPOSAKA
Asia,Japan,Sapporo,JPSAPPOR
Asia,Japan,Tokyo,JPTOKYO
Asia,Kazakhstan,Almaty,RAALMATY
Asia,Kyrgyzstan,Bishkek,RABSHKEK
Asia,Laos,Vientiane,LAVIENTN
Asia,Malaysia,Kuala Lumpur,MSKUALA
Asia,Mongolia,Ulan-bator,MOULNBTR
Asia,Myanmar (Burma),Rangoon,BMRNGOON
Asia,Nepal,Katmandu,NPKTMNDU
Asia,North Korea,Pyongyang,KRPYGYNG
Asia,Pakistan,Islamabad,PKISLMBD
Asia,Pakistan,Karachi,PKKARACH
Asia,Philippines,Manila,PHMANILA
Asia,Singapore,Singapore,SRSINGAP
Asia,South Korea,Seoul,KOSEOUL
Asia,Sri Lanka,Colombo,SBCOLMBO
Asia,Taiwan,Taipei,TWTAIPEI
Asia,Tajikistan,Dusanbe,RADUSNBE
Asia,Thailand,Bangkok,THBNGKOK
Asia,Turkmenistan,Ashabad,RAASHBAD
Asia,Uzbekistan,Tashkent,RATASKNT
Asia,Vietnam,Hanoi,VSHANOI
Australia/South Pacific ,Australia,Brisbane,AUBRSBAN
Australia/South Pacific ,Australia,Canberra,AUCNBERA
Australia/South Pacific ,Australia,Melbourne,AUSYDNEY
Australia/South Pacific ,Australia,Perth,AUPERTH
Australia/South Pacific ,Australia,Sydney,AUMELBRN
Australia/South Pacific ,New Zealand,Auckland,NZACKLND
Europe,Albania,Tirana,ABTIRANA
Europe,Austria,Vienna,OSVIENNA
Europe,Belarus,Minsk,BYMINSK
Europe,Belgium,Brussels,BXBRUSSL
Europe,Bulgaria,Sofia,BUSOFIA
Europe,Croatia,Zagreb,YGZAGREB
Europe,Cyprus,Nicosia,CYNICOSI
Europe,Czech Republic,Prague,CZPRAGUE
Europe,Denmark,Copenhagen,DNCOPNHG
Europe,Finland,Helsinki,FIHELSIN
Europe,France,Paris,FRPARIS
Europe,France,Bordeaux,FRBRDAUX
Europe,Germany,Bonn,DLBONN
Europe,Germany,Frankfurt,DLFRNKFT
Europe,Germany,Hamburg,DLHAMBUR
Europe,Germany,Munich,DLMUNICH
Europe,Georgia,Tbilisi,RSTBLISI
Europe,Greece,Athens,GRATHENS
Europe,Hungary,Budapest,HUBUDPST
Europe,Iceland,Reykjavik,ILREYKJV
Europe,Ireland,Dublin,IEDUBLIN
Europe,Italy,Milan,IYMILAN
Europe,Italy,Rome,IYROME
Europe,Latvia,Riga,RSRIGA
Europe,Macedonia,Skopje,YGSKOPJE
Europe,The Netherlands,Amsterdam,NLAMSTDM
Europe,Norway,Oslo,NOOSLO
Europe,Poland,Warsaw,PLWARSAW
Europe,Portugal,Lisbon,POLISBON
Europe,Romania,Bucharest,ROBCHRST
Europe,Russia,Moscow,RSMOSCOW
Europe,Russia,Yerevan,RSYERVAN
Europe,Serbia-Montenegro,Pristina,YGPRISTN
